timestamp,username,course,mode,motivation_state,persistence_level,affective_score,performance_score,session_completion_rate,consecutive_correct,consecutive_incorrect,time_on_task,help_seeking_frequency,cognitive_load,zpd_score,motivation_score,fatigue_level,session_context
2025-08-08T19:11:09.586054,Teri2,CMP511,unknown,motivation_plateau,maintains_persistence,0.007882921576857601,0.5,0.0,0,0,0.0007698833333333333,0.0,3.28,0.5,0.0,0.0,"{""question_number"": 0, ""interaction_count"": 0, ""current_accuracy"": 0}"
2025-08-08T19:11:21.251149,Teri2,CMP511,tutor,motivation_plateau,maintains_persistence,0.009470995303006208,0.5,0.0,0,0,0.19047731666666667,0.0,3.28,0.5,0.0,0.0,"{""question_number"": 0, ""interaction_count"": 1, ""current_accuracy"": 0}"
2025-08-08T19:14:16.788073,Teri2,CMP511,unknown,motivation_plateau,maintains_persistence,0.011262710127246705,0.5,0.0,0,0,0.0004636333333333333,0.0,3.28,0.5,0.0,0.0,"{""question_number"": 0, ""interaction_count"": 0, ""current_accuracy"": 0}"
2025-08-08T19:14:39.329327,Teri2,CMP511,tutor,motivation_plateau,maintains_persistence,0.013280484953426442,0.5,0.0,0,0,0.3721635,0.0,3.28,0.5,0.0,0.0,"{""question_number"": 0, ""interaction_count"": 1, ""current_accuracy"": 0}"
2025-08-08T19:15:21.529859,Teri2,CMP511,unknown,motivation_plateau,maintains_persistence,0.014781022406980555,0.5,0.0,0,0,0.0004756166666666667,0.0,3.28,0.5,0.0,0.0,"{""question_number"": 0, ""interaction_count"": 0, ""current_accuracy"": 0}"
2025-08-08T19:15:49.149914,Teri2,CMP511,unknown,motivation_plateau,maintains_persistence,0.004534250749401401,0.5,0.0,0,0,0.4608642333333333,0.0,3.378181818181818,0.5,0.0,0.0,"{""question_number"": 1, ""interaction_count"": 1, ""current_accuracy"": 0}"
2025-08-08T19:16:16.525286,Teri2,CMP511,unknown,motivation_plateau,maintains_persistence,0.004266357083204906,0.5,0.0,0,1,0.9171311666666667,0.0,3.396363636363636,0.5,0.0,0.0,"{""question_number"": 2, ""interaction_count"": 2, ""current_accuracy"": 0}"
2025-08-08T19:17:36.171333,Teri2,CMP511,unknown,motivation_plateau,maintains_persistence,0.003849986025620801,0.5,0.0,0,2,2.24456125,0.0,3.414545454545454,0.5,0.0,0.0,"{""question_number"": 3, ""interaction_count"": 3, ""current_accuracy"": 0}"
2025-08-08T19:18:03.537639,Teri2,CMP511,unknown,motivation_plateau,maintains_persistence,0.0032569680974907284,0.5,0.0,0,3,2.7006666166666666,0.0,3.4327272727272726,0.5,0.0,0.0,"{""question_number"": 4, ""interaction_count"": 4, ""current_accuracy"": 0}"
2025-08-08T19:18:04.033512,Teri2,CMP511,unknown,motivation_plateau,maintains_persistence,0.002455086749015872,0.5,0.0,0,3,2.7089350999999997,0.0,3.4327272727272726,0.5,0.0,0.0,"{""question_number"": 4, ""interaction_count"": 4, ""current_accuracy"": 0}"
2025-08-08T19:18:06.880450,Teri2,CMP511,unknown,motivation_plateau,maintains_persistence,0.001469011896378697,0.5,0.0,0,3,2.7472184833333335,0.0,3.4327272727272726,0.5,0.0,0.0,"{""question_number"": 4, ""interaction_count"": 4, ""current_accuracy"": 0}"
2025-08-08T19:18:09.478622,Teri2,CMP511,unknown,motivation_plateau,maintains_persistence,0.0012237927881368804,0.5,0.0,0,3,2.7996725833333334,0.0,3.4327272727272726,0.5,0.0,0.0,"{""question_number"": 4, ""interaction_count"": 4, ""current_accuracy"": 0}"
2025-08-08T19:18:28.077450,Teri2,CMP511,unknown,motivation_plateau,maintains_persistence,0.0009803876445314383,0.5,0.0,0,4,3.1096616166666666,0.0,3.4509090909090907,0.5,0.0,0.0,"{""question_number"": 5, ""interaction_count"": 5, ""current_accuracy"": 0}"
2025-08-08T19:36:03.756755,Teri2,CMP511,unknown,motivation_plateau,maintains_persistence,0.0007508197740442894,0.5,0.0,0,0,0.0007702000000000001,0.0,3.28,0.5,0.0,0.0,"{""question_number"": 0, ""interaction_count"": 0, ""current_accuracy"": 0}"
2025-08-08T19:36:54.783827,Teri2,CMP511,tutor,motivation_plateau,maintains_persistence,0.016264613622454287,0.5,0.0,0,0,0.84768785,0.0,4.279999999999999,0.5,0.0,0.0,"{""question_number"": 0, ""interaction_count"": 1, ""current_accuracy"": 0}"
2025-08-08T19:37:30.467216,Teri2,CMP511,unknown,motivation_plateau,maintains_persistence,0.0016550900580436475,0.5,0.0,0,0,0.0004772166666666666,0.0,3.28,0.5,0.0,0.0,"{""question_number"": 0, ""interaction_count"": 0, ""current_accuracy"": 0}"
2025-08-08T19:38:38.359216,Teri2,CMP511,unknown,motivation_plateau,maintains_persistence,0.0016699763109768433,0.5,0.0,0,0,1.1320118833333335,0.0,3.378181818181818,0.5,0.0,0.0,"{""question_number"": 1, ""interaction_count"": 1, ""current_accuracy"": 0}"
